,prior,estimate,bf01
1,"normal(0, 10)",-0.200982158,27.96266852
2,"normal(0, 5)",-0.198170964,15.01085442
3,"normal(0, 1)",-0.193022898,3.082773764
4,"normal(-0.2, 10)",-0.200701881,30.01261338
5,"normal(-0.2, 5)",-0.194308751,14.74504969
6,"normal(-0.2, 1)",-0.1993661,3.108075997
