ID,list,condition,item,rating,modal
33735504,4,LH,13,NA,may_cert
33735504,4,H,14,NA,may_cert
33735504,4,L,15,NA,may_cert
33735504,4,HL,16,NA,may_cert
33735504,4,H,1,NA,may_def
33735504,4,L,2,NA,may_def
33735504,4,HL,3,NA,may_def
33735504,4,LH,4,NA,may_def
33735504,4,H,5,NA,might_def
33735504,4,L,6,NA,might_def
33735504,4,HL,7,NA,might_def
33735504,4,LH,8,NA,might_def
33735504,4,H,9,NA,might_cert
33735504,4,L,10,NA,might_cert
33735504,4,HL,11,NA,might_cert
33735504,4,LH,12,NA,might_cert
33735504,4,H,13,NA,may_cert
33735504,4,L,14,NA,may_cert
33735504,4,HL,15,NA,may_cert
33735504,4,LH,16,NA,may_cert
33735504,4,L,1,45,may_def
33735504,4,HL,2,55,may_def
33735504,4,LH,3,45,may_def
33735504,4,H,4,100,may_def
33735504,4,L,5,50,might_def
33735504,4,HL,6,55,might_def
33735504,4,LH,7,45,might_def
33735504,4,H,8,100,might_def
33735504,4,L,9,40,might_cert
33735504,4,HL,10,50,might_cert
33735504,4,LH,11,70,might_cert
33735504,4,H,12,100,might_cert
33735504,4,L,13,45,may_cert
33735504,4,HL,14,40,may_cert
33735504,4,LH,15,70,may_cert
33735504,4,H,16,90,may_cert
24527282,3,HL,1,NA,may_def
24527282,3,LH,2,NA,may_def
24527282,3,H,3,NA,may_def
24527282,3,L,4,NA,may_def
24527282,3,HL,5,NA,might_def
24527282,3,LH,6,NA,might_def
24527282,3,H,7,NA,might_def
24527282,3,L,8,NA,might_def
24527282,3,HL,9,NA,might_cert
24527282,3,LH,10,NA,might_cert
24527282,3,H,11,NA,might_cert
24527282,3,L,12,NA,might_cert
24527282,3,HL,13,NA,may_cert
24527282,3,LH,14,NA,may_cert
24527282,3,H,15,NA,may_cert
24527282,3,L,16,NA,may_cert
24527282,3,LH,1,NA,may_def
24527282,3,H,2,NA,may_def
24527282,3,L,3,NA,may_def
24527282,3,HL,4,NA,may_def
24527282,3,LH,5,NA,might_def
24527282,3,H,6,NA,might_def
24527282,3,L,7,NA,might_def
24527282,3,HL,8,NA,might_def
24527282,3,LH,9,NA,might_cert
24527282,3,H,10,NA,might_cert
24527282,3,L,11,NA,might_cert
24527282,3,HL,12,NA,might_cert
24527282,3,LH,13,NA,may_cert
24527282,3,H,14,NA,may_cert
24527282,3,L,15,NA,may_cert
24527282,3,HL,16,NA,may_cert
24527282,3,H,1,100,may_def
24527282,3,L,2,70,may_def
24527282,3,HL,3,80,may_def
24527282,3,LH,4,100,may_def
24527282,3,H,5,100,might_def
24527282,3,L,6,50,might_def
24527282,3,HL,7,90,might_def
24527282,3,LH,8,70,might_def
24527282,3,H,9,100,might_cert
24527282,3,L,10,70,might_cert
24527282,3,HL,11,100,might_cert
24527282,3,LH,12,80,might_cert
24527282,3,H,13,100,may_cert
24527282,3,L,14,60,may_cert
24527282,3,HL,15,80,may_cert
24527282,3,LH,16,80,may_cert
24527282,3,L,1,NA,may_def
24527282,3,HL,2,NA,may_def
24527282,3,LH,3,NA,may_def
24527282,3,H,4,NA,may_def
24527282,3,L,5,NA,might_def
24527282,3,HL,6,NA,might_def
24527282,3,LH,7,NA,might_def
24527282,3,H,8,NA,might_def
24527282,3,L,9,NA,might_cert
24527282,3,HL,10,NA,might_cert
24527282,3,LH,11,NA,might_cert
24527282,3,H,12,NA,might_cert
24527282,3,L,13,NA,may_cert
24527282,3,HL,14,NA,may_cert
24527282,3,LH,15,NA,may_cert
24527282,3,H,16,NA,may_cert
25474061,4,HL,1,NA,may_def
25474061,4,LH,2,NA,may_def
25474061,4,H,3,NA,may_def
25474061,4,L,4,NA,may_def
25474061,4,HL,5,NA,might_def
25474061,4,LH,6,NA,might_def
25474061,4,H,7,NA,might_def
25474061,4,L,8,NA,might_def
25474061,4,HL,9,NA,might_cert
25474061,4,LH,10,NA,might_cert
25474061,4,H,11,NA,might_cert
25474061,4,L,12,NA,might_cert
25474061,4,HL,13,NA,may_cert
25474061,4,LH,14,NA,may_cert
25474061,4,H,15,NA,may_cert
25474061,4,L,16,NA,may_cert
25474061,4,LH,1,NA,may_def
25474061,4,H,2,NA,may_def
25474061,4,L,3,NA,may_def
25474061,4,HL,4,NA,may_def
25474061,4,LH,5,NA,might_def
25474061,4,H,6,NA,might_def
25474061,4,L,7,NA,might_def
25474061,4,HL,8,NA,might_def
25474061,4,LH,9,NA,might_cert
25474061,4,H,10,NA,might_cert
25474061,4,L,11,NA,might_cert
25474061,4,HL,12,NA,might_cert
25474061,4,LH,13,NA,may_cert
25474061,4,H,14,NA,may_cert
25474061,4,L,15,NA,may_cert
25474061,4,HL,16,NA,may_cert
25474061,4,H,1,NA,may_def
25474061,4,L,2,NA,may_def
25474061,4,HL,3,NA,may_def
25474061,4,LH,4,NA,may_def
25474061,4,H,5,NA,might_def
25474061,4,L,6,NA,might_def
25474061,4,HL,7,NA,might_def
25474061,4,LH,8,NA,might_def
25474061,4,H,9,NA,might_cert
25474061,4,L,10,NA,might_cert
25474061,4,HL,11,NA,might_cert
25474061,4,LH,12,NA,might_cert
25474061,4,H,13,NA,may_cert
25474061,4,L,14,NA,may_cert
25474061,4,HL,15,NA,may_cert
25474061,4,LH,16,NA,may_cert
25474061,4,L,1,49,may_def
25474061,4,HL,2,89,may_def
25474061,4,LH,3,90,may_def
25474061,4,H,4,100,may_def
25474061,4,L,5,17,might_def
25474061,4,HL,6,80,might_def
25474061,4,LH,7,95,might_def
25474061,4,H,8,100,might_def
25474061,4,L,9,84,might_cert
25474061,4,HL,10,95,might_cert
25474061,4,LH,11,94,might_cert
25474061,4,H,12,100,might_cert
25474061,4,L,13,56,may_cert
25474061,4,HL,14,67,may_cert
25474061,4,LH,15,90,may_cert
25474061,4,H,16,100,may_cert
56889279,1,HL,1,55,may_def
56889279,1,LH,2,60,may_def
56889279,1,H,3,97,may_def
56889279,1,L,4,26,may_def
56889279,1,HL,5,15,might_def
56889279,1,LH,6,17,might_def
56889279,1,H,7,70,might_def
56889279,1,L,8,30,might_def
56889279,1,HL,9,15,might_cert
56889279,1,LH,10,60,might_cert
56889279,1,H,11,90,might_cert
56889279,1,L,12,80,might_cert
56889279,1,HL,13,65,may_cert
56889279,1,LH,14,40,may_cert
56889279,1,H,15,99,may_cert
56889279,1,L,16,40,may_cert
56889279,1,LH,1,NA,may_def
56889279,1,H,2,NA,may_def
56889279,1,L,3,NA,may_def
56889279,1,HL,4,NA,may_def
56889279,1,LH,5,NA,might_def
56889279,1,H,6,NA,might_def
56889279,1,L,7,NA,might_def
56889279,1,HL,8,NA,might_def
56889279,1,LH,9,NA,might_cert
56889279,1,H,10,NA,might_cert
56889279,1,L,11,NA,might_cert
56889279,1,HL,12,NA,might_cert
56889279,1,LH,13,NA,may_cert
56889279,1,H,14,NA,may_cert
56889279,1,L,15,NA,may_cert
56889279,1,HL,16,NA,may_cert
56889279,1,H,1,NA,may_def
56889279,1,L,2,NA,may_def
56889279,1,HL,3,NA,may_def
56889279,1,LH,4,NA,may_def
56889279,1,H,5,NA,might_def
56889279,1,L,6,NA,might_def
56889279,1,HL,7,NA,might_def
56889279,1,LH,8,NA,might_def
56889279,1,H,9,NA,might_cert
56889279,1,L,10,NA,might_cert
56889279,1,HL,11,NA,might_cert
56889279,1,LH,12,NA,might_cert
56889279,1,H,13,NA,may_cert
56889279,1,L,14,NA,may_cert
56889279,1,HL,15,NA,may_cert
56889279,1,LH,16,NA,may_cert
56889279,1,L,1,NA,may_def
56889279,1,HL,2,NA,may_def
56889279,1,LH,3,NA,may_def
56889279,1,H,4,NA,may_def
56889279,1,L,5,NA,might_def
56889279,1,HL,6,NA,might_def
56889279,1,LH,7,NA,might_def
56889279,1,H,8,NA,might_def
56889279,1,L,9,NA,might_cert
56889279,1,HL,10,NA,might_cert
56889279,1,LH,11,NA,might_cert
56889279,1,H,12,NA,might_cert
56889279,1,L,13,NA,may_cert
56889279,1,HL,14,NA,may_cert
56889279,1,LH,15,NA,may_cert
56889279,1,H,16,NA,may_cert
15666162,2,HL,1,NA,may_def
15666162,2,LH,2,NA,may_def
15666162,2,H,3,NA,may_def
15666162,2,L,4,NA,may_def
15666162,2,HL,5,NA,might_def
15666162,2,LH,6,NA,might_def
15666162,2,H,7,NA,might_def
15666162,2,L,8,NA,might_def
15666162,2,HL,9,NA,might_cert
15666162,2,LH,10,NA,might_cert
15666162,2,H,11,NA,might_cert
15666162,2,L,12,NA,might_cert
15666162,2,HL,13,NA,may_cert
15666162,2,LH,14,NA,may_cert
15666162,2,H,15,NA,may_cert
15666162,2,L,16,NA,may_cert
15666162,2,LH,1,90,may_def
15666162,2,H,2,96,may_def
15666162,2,L,3,84,may_def
15666162,2,HL,4,93,may_def
15666162,2,LH,5,92,might_def
15666162,2,H,6,91,might_def
15666162,2,L,7,70,might_def
15666162,2,HL,8,86,might_def
15666162,2,LH,9,78,might_cert
15666162,2,H,10,92,might_cert
15666162,2,L,11,80,might_cert
15666162,2,HL,12,85,might_cert
15666162,2,LH,13,85,may_cert
15666162,2,H,14,84,may_cert
15666162,2,L,15,89,may_cert
15666162,2,HL,16,89,may_cert
15666162,2,H,1,NA,may_def
15666162,2,L,2,NA,may_def
15666162,2,HL,3,NA,may_def
15666162,2,LH,4,NA,may_def
15666162,2,H,5,NA,might_def
15666162,2,L,6,NA,might_def
15666162,2,HL,7,NA,might_def
15666162,2,LH,8,NA,might_def
15666162,2,H,9,NA,might_cert
15666162,2,L,10,NA,might_cert
15666162,2,HL,11,NA,might_cert
15666162,2,LH,12,NA,might_cert
15666162,2,H,13,NA,may_cert
15666162,2,L,14,NA,may_cert
15666162,2,HL,15,NA,may_cert
15666162,2,LH,16,NA,may_cert
15666162,2,L,1,NA,may_def
15666162,2,HL,2,NA,may_def
15666162,2,LH,3,NA,may_def
15666162,2,H,4,NA,may_def
15666162,2,L,5,NA,might_def
15666162,2,HL,6,NA,might_def
15666162,2,LH,7,NA,might_def
15666162,2,H,8,NA,might_def
15666162,2,L,9,NA,might_cert
15666162,2,HL,10,NA,might_cert
15666162,2,LH,11,NA,might_cert
15666162,2,H,12,NA,might_cert
15666162,2,L,13,NA,may_cert
15666162,2,HL,14,NA,may_cert
15666162,2,LH,15,NA,may_cert
15666162,2,H,16,NA,may_cert
7099522,3,HL,1,NA,may_def
7099522,3,LH,2,NA,may_def
7099522,3,H,3,NA,may_def
7099522,3,L,4,NA,may_def
7099522,3,HL,5,NA,might_def
7099522,3,LH,6,NA,might_def
7099522,3,H,7,NA,might_def
7099522,3,L,8,NA,might_def
7099522,3,HL,9,NA,might_cert
7099522,3,LH,10,NA,might_cert
7099522,3,H,11,NA,might_cert
7099522,3,L,12,NA,might_cert
7099522,3,HL,13,NA,may_cert
7099522,3,LH,14,NA,may_cert
7099522,3,H,15,NA,may_cert
7099522,3,L,16,NA,may_cert
7099522,3,LH,1,NA,may_def
7099522,3,H,2,NA,may_def
7099522,3,L,3,NA,may_def
7099522,3,HL,4,NA,may_def
7099522,3,LH,5,NA,might_def
7099522,3,H,6,NA,might_def
7099522,3,L,7,NA,might_def
7099522,3,HL,8,NA,might_def
7099522,3,LH,9,NA,might_cert
7099522,3,H,10,NA,might_cert
7099522,3,L,11,NA,might_cert
7099522,3,HL,12,NA,might_cert
7099522,3,LH,13,NA,may_cert
7099522,3,H,14,NA,may_cert
7099522,3,L,15,NA,may_cert
7099522,3,HL,16,NA,may_cert
7099522,3,H,1,90,may_def
7099522,3,L,2,50,may_def
7099522,3,HL,3,75,may_def
7099522,3,LH,4,40,may_def
7099522,3,H,5,95,might_def
7099522,3,L,6,30,might_def
7099522,3,HL,7,80,might_def
7099522,3,LH,8,60,might_def
7099522,3,H,9,95,might_cert
7099522,3,L,10,71,might_cert
7099522,3,HL,11,96,might_cert
7099522,3,LH,12,51,might_cert
7099522,3,H,13,86,may_cert
7099522,3,L,14,60,may_cert
7099522,3,HL,15,64,may_cert
7099522,3,LH,16,71,may_cert
7099522,3,L,1,NA,may_def
7099522,3,HL,2,NA,may_def
7099522,3,LH,3,NA,may_def
7099522,3,H,4,NA,may_def
7099522,3,L,5,NA,might_def
7099522,3,HL,6,NA,might_def
7099522,3,LH,7,NA,might_def
7099522,3,H,8,NA,might_def
7099522,3,L,9,NA,might_cert
7099522,3,HL,10,NA,might_cert
7099522,3,LH,11,NA,might_cert
7099522,3,H,12,NA,might_cert
7099522,3,L,13,NA,may_cert
7099522,3,HL,14,NA,may_cert
7099522,3,LH,15,NA,may_cert
7099522,3,H,16,NA,may_cert
37599208,1,HL,1,61,may_def
37599208,1,LH,2,70,may_def
37599208,1,H,3,99,may_def
37599208,1,L,4,50,may_def
37599208,1,HL,5,71,might_def
37599208,1,LH,6,70,might_def
37599208,1,H,7,98,might_def
37599208,1,L,8,51,might_def
37599208,1,HL,9,80,might_cert
37599208,1,LH,10,71,might_cert
37599208,1,H,11,99,might_cert
37599208,1,L,12,50,might_cert
37599208,1,HL,13,70,may_cert
37599208,1,LH,14,70,may_cert
37599208,1,H,15,99,may_cert
37599208,1,L,16,50,may_cert
37599208,1,LH,1,NA,may_def
37599208,1,H,2,NA,may_def
37599208,1,L,3,NA,may_def
37599208,1,HL,4,NA,may_def
37599208,1,LH,5,NA,might_def
37599208,1,H,6,NA,might_def
37599208,1,L,7,NA,might_def
37599208,1,HL,8,NA,might_def
37599208,1,LH,9,NA,might_cert
37599208,1,H,10,NA,might_cert
37599208,1,L,11,NA,might_cert
37599208,1,HL,12,NA,might_cert
37599208,1,LH,13,NA,may_cert
37599208,1,H,14,NA,may_cert
37599208,1,L,15,NA,may_cert
37599208,1,HL,16,NA,may_cert
37599208,1,H,1,NA,may_def
37599208,1,L,2,NA,may_def
37599208,1,HL,3,NA,may_def
37599208,1,LH,4,NA,may_def
37599208,1,H,5,NA,might_def
37599208,1,L,6,NA,might_def
37599208,1,HL,7,NA,might_def
37599208,1,LH,8,NA,might_def
37599208,1,H,9,NA,might_cert
37599208,1,L,10,NA,might_cert
37599208,1,HL,11,NA,might_cert
37599208,1,LH,12,NA,might_cert
37599208,1,H,13,NA,may_cert
37599208,1,L,14,NA,may_cert
37599208,1,HL,15,NA,may_cert
37599208,1,LH,16,NA,may_cert
37599208,1,L,1,NA,may_def
37599208,1,HL,2,NA,may_def
37599208,1,LH,3,NA,may_def
37599208,1,H,4,NA,may_def
37599208,1,L,5,NA,might_def
37599208,1,HL,6,NA,might_def
37599208,1,LH,7,NA,might_def
37599208,1,H,8,NA,might_def
37599208,1,L,9,NA,might_cert
37599208,1,HL,10,NA,might_cert
37599208,1,LH,11,NA,might_cert
37599208,1,H,12,NA,might_cert
37599208,1,L,13,NA,may_cert
37599208,1,HL,14,NA,may_cert
37599208,1,LH,15,NA,may_cert
37599208,1,H,16,NA,may_cert
66732175,4,HL,1,NA,may_def
66732175,4,LH,2,NA,may_def
66732175,4,H,3,NA,may_def
66732175,4,L,4,NA,may_def
66732175,4,HL,5,NA,might_def
66732175,4,LH,6,NA,might_def
66732175,4,H,7,NA,might_def
66732175,4,L,8,NA,might_def
66732175,4,HL,9,NA,might_cert
66732175,4,LH,10,NA,might_cert
66732175,4,H,11,NA,might_cert
66732175,4,L,12,NA,might_cert
66732175,4,HL,13,NA,may_cert
66732175,4,LH,14,NA,may_cert
66732175,4,H,15,NA,may_cert
66732175,4,L,16,NA,may_cert
66732175,4,LH,1,NA,may_def
66732175,4,H,2,NA,may_def
66732175,4,L,3,NA,may_def
66732175,4,HL,4,NA,may_def
66732175,4,LH,5,NA,might_def
66732175,4,H,6,NA,might_def
66732175,4,L,7,NA,might_def
66732175,4,HL,8,NA,might_def
66732175,4,LH,9,NA,might_cert
66732175,4,H,10,NA,might_cert
66732175,4,L,11,NA,might_cert
66732175,4,HL,12,NA,might_cert
66732175,4,LH,13,NA,may_cert
66732175,4,H,14,NA,may_cert
66732175,4,L,15,NA,may_cert
66732175,4,HL,16,NA,may_cert
66732175,4,H,1,NA,may_def
66732175,4,L,2,NA,may_def
66732175,4,HL,3,NA,may_def
66732175,4,LH,4,NA,may_def
66732175,4,H,5,NA,might_def
66732175,4,L,6,NA,might_def
66732175,4,HL,7,NA,might_def
66732175,4,LH,8,NA,might_def
66732175,4,H,9,NA,might_cert
66732175,4,L,10,NA,might_cert
66732175,4,HL,11,NA,might_cert
66732175,4,LH,12,NA,might_cert
66732175,4,H,13,NA,may_cert
66732175,4,L,14,NA,may_cert
66732175,4,HL,15,NA,may_cert
66732175,4,LH,16,NA,may_cert
66732175,4,L,1,33,may_def
66732175,4,HL,2,56,may_def
66732175,4,LH,3,80,may_def
66732175,4,H,4,96,may_def
66732175,4,L,5,20,might_def
66732175,4,HL,6,60,might_def
66732175,4,LH,7,52,might_def
66732175,4,H,8,94,might_def
66732175,4,L,9,52,might_cert
66732175,4,HL,10,75,might_cert
66732175,4,LH,11,76,might_cert
66732175,4,H,12,88,might_cert
66732175,4,L,13,26,may_cert
66732175,4,HL,14,34,may_cert
66732175,4,LH,15,78,may_cert
66732175,4,H,16,86,may_cert
91384973,3,HL,1,NA,may_def
91384973,3,LH,2,NA,may_def
91384973,3,H,3,NA,may_def
91384973,3,L,4,NA,may_def
91384973,3,HL,5,NA,might_def
91384973,3,LH,6,NA,might_def
91384973,3,H,7,NA,might_def
91384973,3,L,8,NA,might_def
91384973,3,HL,9,NA,might_cert
91384973,3,LH,10,NA,might_cert
91384973,3,H,11,NA,might_cert
91384973,3,L,12,NA,might_cert
91384973,3,HL,13,NA,may_cert
91384973,3,LH,14,NA,may_cert
91384973,3,H,15,NA,may_cert
91384973,3,L,16,NA,may_cert
91384973,3,LH,1,NA,may_def
91384973,3,H,2,NA,may_def
91384973,3,L,3,NA,may_def
91384973,3,HL,4,NA,may_def
91384973,3,LH,5,NA,might_def
91384973,3,H,6,NA,might_def
91384973,3,L,7,NA,might_def
91384973,3,HL,8,NA,might_def
91384973,3,LH,9,NA,might_cert
91384973,3,H,10,NA,might_cert
91384973,3,L,11,NA,might_cert
91384973,3,HL,12,NA,might_cert
91384973,3,LH,13,NA,may_cert
91384973,3,H,14,NA,may_cert
91384973,3,L,15,NA,may_cert
91384973,3,HL,16,NA,may_cert
91384973,3,H,1,50,may_def
91384973,3,L,2,50,may_def
91384973,3,HL,3,50,may_def
91384973,3,LH,4,50,may_def
91384973,3,H,5,100,might_def
91384973,3,L,6,50,might_def
91384973,3,HL,7,50,might_def
91384973,3,LH,8,72,might_def
91384973,3,H,9,18,might_cert
91384973,3,L,10,50,might_cert
91384973,3,HL,11,50,might_cert
91384973,3,LH,12,50,might_cert
91384973,3,H,13,50,may_cert
91384973,3,L,14,61,may_cert
91384973,3,HL,15,51,may_cert
91384973,3,LH,16,49,may_cert
91384973,3,L,1,NA,may_def
91384973,3,HL,2,NA,may_def
91384973,3,LH,3,NA,may_def
91384973,3,H,4,NA,may_def
91384973,3,L,5,NA,might_def
91384973,3,HL,6,NA,might_def
91384973,3,LH,7,NA,might_def
91384973,3,H,8,NA,might_def
91384973,3,L,9,NA,might_cert
91384973,3,HL,10,NA,might_cert
91384973,3,LH,11,NA,might_cert
91384973,3,H,12,NA,might_cert
91384973,3,L,13,NA,may_cert
91384973,3,HL,14,NA,may_cert
91384973,3,LH,15,NA,may_cert
91384973,3,H,16,NA,may_cert
59909697,2,HL,1,NA,may_def
59909697,2,LH,2,NA,may_def
59909697,2,H,3,NA,may_def
59909697,2,L,4,NA,may_def
59909697,2,HL,5,NA,might_def
59909697,2,LH,6,NA,might_def
59909697,2,H,7,NA,might_def
59909697,2,L,8,NA,might_def
59909697,2,HL,9,NA,might_cert
59909697,2,LH,10,NA,might_cert
59909697,2,H,11,NA,might_cert
59909697,2,L,12,NA,might_cert
59909697,2,HL,13,NA,may_cert
59909697,2,LH,14,NA,may_cert
59909697,2,H,15,NA,may_cert
59909697,2,L,16,NA,may_cert
59909697,2,LH,1,61,may_def
59909697,2,H,2,97,may_def
59909697,2,L,3,50,may_def
59909697,2,HL,4,75,may_def
59909697,2,LH,5,70,might_def
59909697,2,H,6,100,might_def
59909697,2,L,7,50,might_def
59909697,2,HL,8,60,might_def
59909697,2,LH,9,71,might_cert
59909697,2,H,10,97,might_cert
59909697,2,L,11,51,might_cert
59909697,2,HL,12,70,might_cert
59909697,2,LH,13,75,may_cert
59909697,2,H,14,97,may_cert
59909697,2,L,15,70,may_cert
59909697,2,HL,16,75,may_cert
59909697,2,H,1,NA,may_def
59909697,2,L,2,NA,may_def
59909697,2,HL,3,NA,may_def
59909697,2,LH,4,NA,may_def
59909697,2,H,5,NA,might_def
59909697,2,L,6,NA,might_def
59909697,2,HL,7,NA,might_def
59909697,2,LH,8,NA,might_def
59909697,2,H,9,NA,might_cert
59909697,2,L,10,NA,might_cert
59909697,2,HL,11,NA,might_cert
59909697,2,LH,12,NA,might_cert
59909697,2,H,13,NA,may_cert
59909697,2,L,14,NA,may_cert
59909697,2,HL,15,NA,may_cert
59909697,2,LH,16,NA,may_cert
59909697,2,L,1,NA,may_def
59909697,2,HL,2,NA,may_def
59909697,2,LH,3,NA,may_def
59909697,2,H,4,NA,may_def
59909697,2,L,5,NA,might_def
59909697,2,HL,6,NA,might_def
59909697,2,LH,7,NA,might_def
59909697,2,H,8,NA,might_def
59909697,2,L,9,NA,might_cert
59909697,2,HL,10,NA,might_cert
59909697,2,LH,11,NA,might_cert
59909697,2,H,12,NA,might_cert
59909697,2,L,13,NA,may_cert
59909697,2,HL,14,NA,may_cert
59909697,2,LH,15,NA,may_cert
59909697,2,H,16,NA,may_cert
56596730,3,HL,1,NA,may_def
56596730,3,LH,2,NA,may_def
56596730,3,H,3,NA,may_def
56596730,3,L,4,NA,may_def
56596730,3,HL,5,NA,might_def
56596730,3,LH,6,NA,might_def
56596730,3,H,7,NA,might_def
56596730,3,L,8,NA,might_def
56596730,3,HL,9,NA,might_cert
56596730,3,LH,10,NA,might_cert
56596730,3,H,11,NA,might_cert
56596730,3,L,12,NA,might_cert
56596730,3,HL,13,NA,may_cert
56596730,3,LH,14,NA,may_cert
56596730,3,H,15,NA,may_cert
56596730,3,L,16,NA,may_cert
56596730,3,LH,1,NA,may_def
56596730,3,H,2,NA,may_def
