"","prior","estimate","bf01"
"1","normal(-0.01,0.1)","0.00438944871591833","1.57486030428686"
"2","normal(-0.01,0.2)","0.00978396625099179","2.82222518520018"
"3","normal(-0.01,0.3)","0.0104925722453619","4.06394624556058"
"4","normal(-0.01,0.4)","0.012373956563282","5.37920487231407"
"5","normal(-0.01,0.5)","0.0113248440832669","6.30098326120691"
"6","normal(-0.01,0.6)","0.0134339942786032","8.17365736551676"
"7","normal(-0.01,0.7)","0.0123893175964592","9.56829663659199"
"8","normal(-0.01,0.8)","0.010831980125705","10.2450632561792"
"9","normal(-0.01,0.9)","0.0131808348607281","11.7355164613277"
"10","normal(-0.01,1)","0.013155170432493","12.8105023521612"
"11","normal(-0.005,0.1)","0.00672341552619951","1.63222540610566"
"12","normal(-0.005,0.2)","0.0108505711213222","2.84588674946332"
"13","normal(-0.005,0.3)","0.0109076906508715","3.99328890433125"
"14","normal(-0.005,0.4)","0.0106571173270011","5.30516646815108"
"15","normal(-0.005,0.5)","0.011477474616586","6.72682931209503"
"16","normal(-0.005,0.6)","0.0116905841951358","7.84768250250343"
"17","normal(-0.005,0.7)","0.012610433846263","9.27300483949888"
"18","normal(-0.005,0.8)","0.0127099416138566","10.7786619856135"
"19","normal(-0.005,0.9)","0.0122332966347127","12.2387632291586"
"20","normal(-0.005,1)","0.0138839274061839","12.2630890285197"
"21","normal(0,0.1)","0.00752234537422261","1.69873078796114"
"22","normal(0,0.2)","0.00944839615532861","2.7605733142497"
"23","normal(0,0.3)","0.0108690994338416","4.10966242344738"
"24","normal(0,0.4)","0.013318649713425","5.13557166869986"
"25","normal(0,0.5)","0.0132156137924677","6.69235709871089"
"26","normal(0,0.6)","0.0116458036541382","8.07805056287789"
"27","normal(0,0.7)","0.0132448591514163","9.17521852145158"
"28","normal(0,0.8)","0.0123135284649394","10.5973444760857"
"29","normal(0,0.9)","0.0113053106823354","11.959472366008"
"30","normal(0,1)","0.0124502553022202","13.0471490632031"
"31","normal(0.005,0.1)","0.00995038615347015","1.80667721393391"
"32","normal(0.005,0.2)","0.0108730452868158","2.72912392755388"
"33","normal(0.005,0.3)","0.0127773589017733","4.23500300288791"
"34","normal(0.005,0.4)","0.0115990814244517","5.28710539698878"
"35","normal(0.005,0.5)","0.0123216398793007","6.45916789902129"
"36","normal(0.005,0.6)","0.0133356610441271","8.19851618676557"
"37","normal(0.005,0.7)","0.0108754207925649","9.48833268953451"
"38","normal(0.005,0.8)","0.0129787112525548","10.6102141174948"
"39","normal(0.005,0.9)","0.0122710304570651","11.8217331997954"
"40","normal(0.005,1)","0.0126355216440232","13.6318158735608"
"41","normal(0.01,0.1)","0.0105336447513959","1.77160594025469"
"42","normal(0.01,0.2)","0.0123020635983861","2.81599937383887"
"43","normal(0.01,0.3)","0.0131240396048843","4.15594581488753"
"44","normal(0.01,0.4)","0.0123776808234782","5.30883141688698"
"45","normal(0.01,0.5)","0.0120081693106163","6.94158688787797"
"46","normal(0.01,0.6)","0.0134156559644966","7.87798818490249"
"47","normal(0.01,0.7)","0.0136160959493346","9.29848233167513"
"48","normal(0.01,0.8)","0.0119442219771051","10.5957551694523"
"49","normal(0.01,0.9)","0.0120327269481485","11.6229094851674"
"50","normal(0.01,1)","0.0129548923795127","13.2600682816036"
